ind_id,Sponge_width_cm,Depth,Group_size,TL_mm,Rank,mt_lineage,nc_lineage,Sponge_id,S_species,S_colour,Reef,AVG.TL_mm,is_male,egg_count,eggs,age
Risor_191,21.37963899,5.4,1,15,1,NA,NA,GRU_32,Ircinia felix,Light,GRU,15,1,0,0,NA
Risor_192,19.571341,5.7,2,18.13,1,2,NA,LON_01,Ircinia felix,Medium,LON,17.17,0,0,0,NA
Risor_193,19.571341,5.7,2,16.21,2,2,NA,LON_01,Ircinia felix,Medium,LON,17.17,0,0,0,NA
Risor_194,19.02944733,6,2,10.4,1,NA,NA,LON_02,Ircinia felix,Light,LON,10.18,0,0,0,NA
Risor_195,19.02944733,6,2,9.96,2,2,NA,LON_02,Ircinia felix,Light,LON,10.18,0,0,0,NA
Risor_196,16.96413323,6.5,3,16.16,1,2,NA,LON_03,Ircinia felix,Medium,LON,14.76,0,60,1,NA
Risor_197,16.96413323,6.5,3,15.13,2,NA,NA,LON_03,Ircinia felix,Medium,LON,14.76,0,100,1,NA
Risor_198,16.96413323,6.5,3,12.99,3,NA,NA,LON_03,Ircinia felix,Medium,LON,14.76,0,0,0,NA
Risor_199,16.64102183,6.7,1,14.94,1,NA,NA,LON_04,Ircinia felix,Medium,LON,14.94,0,0,0,NA
Risor_200,17.11924903,5.8,2,15.69,1,NA,NA,LON_05,Ircinia campana,Light,LON,15.15,0,0,0,NA
Risor_201,17.11924903,5.8,2,14.61,2,2,NA,LON_05,Ircinia campana,Light,LON,15.15,0,60,1,NA
Risor_202,16.18158983,6.4,4,13.07,2,NA,NA,LON_06,Ircinia felix,Medium,LON,12.7125,0,0,0,NA
Risor_203,16.18158983,6.4,4,13.2,1,NA,NA,LON_06,Ircinia felix,Medium,LON,12.7125,0,0,0,NA
Risor_204,16.18158983,6.4,4,12.31,3,NA,NA,LON_06,Ircinia felix,Medium,LON,12.7125,0,0,0,NA
Risor_205,16.18158983,6.4,4,12.27,4,NA,NA,LON_06,Ircinia felix,Medium,LON,12.7125,0,0,0,NA
Risor_206,18.94124401,6.4,2,16.1,1,NA,2,LON_07,Ircinia felix,Medium,LON,13.775,0,80,1,NA
Risor_207,18.94124401,6.4,2,11.45,2,2,NA,LON_07,Ircinia felix,Medium,LON,13.775,0,0,0,NA
Risor_209,11.2863045,7,3,13.07,2,2,1,LON_08,Ircinia felix,Medium,LON,13.02666667,0,0,0,NA
Risor_208,11.2863045,7,3,13.44,1,2,NA,LON_08,Ircinia felix,Medium,LON,13.02666667,0,0,0,NA
Risor_210,11.2863045,7,3,12.57,3,2,NA,LON_08,Ircinia felix,Medium,LON,13.02666667,0,0,0,NA
Risor_211,15.74123245,7,1,12.04,1,2,NA,LON_09,Ircinia felix,Medium,LON,12.04,0,0,0,NA
